Unix,Date,Symbol,Open,High,Low,Close,Volume ETH,Volume USDC,tradecount
1604448000000,2020-11-04,ETHUSDC,388.32,408.66,376.89,402.4,18897.63067,7434613.6122911,6088
1604361600000,2020-11-03,ETHUSDC,383.13,390.25,370.36,387.89,11414.74828,4343892.4922217,3828
1604275200000,2020-11-02,ETHUSDC,397.01,404.71,378.32,383.16,17229.89551,6728612.3487176,5322
1604188800000,2020-11-01,ETHUSDC,386.65,398.15,385.1,396.72,8558.53942,3335989.778789,3481
1604102400000,2020-10-31,ETHUSDC,382.68,394.18,380.82,386.89,8301.38386,3218786.4347725,2933
1604016000000,2020-10-30,ETHUSDC,387.6,391.93,373.48,382.75,15285.95547,5831069.8403837,5337
1603929600000,2020-10-29,ETHUSDC,388.76,393.95,380.92,387.5,13183.13229,5127577.8875977,4996
1603843200000,2020-10-28,ETHUSDC,403.13,409.21,380.72,388.41,16731.38969,6564976.4925174,5791
1603756800000,2020-10-27,ETHUSDC,393.49,410.53,390.21,403.87,14738.22834,5914263.9102669,5798
1603670400000,2020-10-26,ETHUSDC,406.09,411.63,382.77,393.12,17405.04726,6916283.7080685,6773
1603584000000,2020-10-25,ETHUSDC,412.32,417.81,403.04,406.2,8677.89759,3546916.205597,3666
1603497600000,2020-10-24,ETHUSDC,409.7,416.99,407.54,412.53,7321.75528,3020835.5305334,4349
1603411200000,2020-10-23,ETHUSDC,414.31,420,401.97,409.39,12992.37885,5352160.656688,5727
1603324800000,2020-10-22,ETHUSDC,391.02,421.28,391.01,414.5,17038.19539,6997203.05104,6844
1603238400000,2020-10-21,ETHUSDC,368.96,402.22,368.27,391.06,22534.60133,8763554.1793851,9227
1603152000000,2020-10-20,ETHUSDC,379.39,380.89,365.6,368.88,13657.01246,5070824.5995737,5222
1603065600000,2020-10-19,ETHUSDC,378.34,384.58,372.71,379.49,11695.33354,4426733.5967654,4424
1602979200000,2020-10-18,ETHUSDC,367.84,378.54,367.64,378.4,4864.25555,1818490.988562,2313
1602892800000,2020-10-17,ETHUSDC,365.57,370.45,363.67,368.39,4764.33791,1749585.7666027,2281
1602806400000,2020-10-16,ETHUSDC,377.89,379.89,361.43,365.63,19178.1487,7080888.4953764,6404
1602720000000,2020-10-15,ETHUSDC,378.86,382,369.7,377.94,14120.9906,5300070.4851775,5751
1602633600000,2020-10-14,ETHUSDC,381.54,387.61,373.38,378.73,9690.30899,3676977.62089,4059
1602547200000,2020-10-13,ETHUSDC,386.86,387.73,374.45,381.21,13249.3797,5057875.6133446,5067
1602460800000,2020-10-12,ETHUSDC,374.01,395,365.76,386.71,13475.88045,5126247.1866133,4395
1602374400000,2020-10-11,ETHUSDC,370.81,377.7,369.33,374.45,8559.02583,3195812.8369969,2462
1602288000000,2020-10-10,ETHUSDC,365.02,378.51,364.84,370.87,13788.49464,5148772.9192168,4276
1602201600000,2020-10-09,ETHUSDC,350.86,368.49,347.43,365.36,17712.51048,6375404.0114754,6233
1602115200000,2020-10-08,ETHUSDC,341.84,353.32,334.28,351.11,16265.70642,5601576.5894724,5729
1602028800000,2020-10-07,ETHUSDC,340.61,342.82,333.11,341.83,13365.0807,4533275.8432866,4757
1601942400000,2020-10-06,ETHUSDC,353.95,355.09,336.7,340.83,16085.61911,5565405.4417378,5590
1601856000000,2020-10-05,ETHUSDC,352.53,356.08,348.72,353.34,9996.51572,3522068.4134056,3768
1601769600000,2020-10-04,ETHUSDC,346.04,354.49,344.14,352.34,8859.81431,3091891.7632737,2836
1601683200000,2020-10-03,ETHUSDC,345.77,350.93,343.7,346.01,9525.02352,3306874.2635271,3102
1601596800000,2020-10-02,ETHUSDC,352.53,354.32,334.4,345.73,27649.14799,9482861.2181161,6734
